Portfolio,Capital,Current Value,Total Return %,Annual Return %,Annual Risk %,Sharpe Ratio
Conservative,10000,10437.1,4.37,9.83,15.18,0.65
Growth,10000,10503.97,5.04,12.93,24.32,0.53
