Ticker,Sector,First_close,Last_close,Cumulative Return %,Total Volume
UNH,Healthcare,327.40020751953125,415.5299987792969,26.92,1069496700
MS,Finance,179.90609741210938,221.0399932861328,22.86,821587900
C,Finance,119.2315673828125,144.97999572753906,21.6,1676869800
JNJ,Healthcare,205.35105895996094,244.8800048828125,19.25,1027516000
MRK,Healthcare,105.23812866210938,125.44999694824219,19.21,1366032700
GS,Finance,898.332275390625,1065.0899658203125,18.56,283077000
GOOG,Technology,314.5489501953125,342.19000244140625,8.79,2608061600
F,Automobile,13.003483772277832,14.109999656677246,8.51,7610752900
ABBV,Healthcare,226.2672576904297,243.13999938964844,7.46,828742700
BAC,Finance,55.56553649902344,58.189998626708984,4.72,4788396900
JPM,Finance,324.7754211425781,335.1199951171875,3.19,1232684900
NVDA,Technology,190.2978973388672,195.74000549316406,2.86,20926437800
AAPL,Technology,272.89300537109375,275.1499938964844,0.83,5920336500
AMZN,Technology,232.52000427246094,227.00999450683594,-2.37,5937151600
PFE,Healthcare,24.275922775268555,23.670000076293945,-2.5,5184973500
GM,Automobile,82.68456268310547,78.52999877929688,-5.02,983396100
TSLA,Automobile,475.19000244140625,375.1199951171875,-21.06,7310241600
TM,Automobile,216.6199951171875,166.5,-23.14,48787300
MSFT,Technology,485.5476989746094,352.8299865722656,-27.33,4429801000
RIVN,Automobile,20.899999618530273,14.859999656677246,-28.9,3688892500
